run,mode,provider,dry run,calls,input tokens,of which cached,output tokens,of which reasoning,cost USD (list prices),first call (UTC),last call (UTC)
dry-cap,main,openai,yes,76,610675,0,13680,0,1.3855,2026-09-13T16:37:54.187+00:00,2026-09-13T16:37:54.486+00:00
dry-cap-2,main,openai,yes,1,4872,0,180,0,0.0119,2026-09-13T16:39:06.715+00:00,2026-09-13T16:39:06.738+00:00
dry-probe,,anthropic,yes,50,18950,0,9000,0,0.1279,2026-09-13T18:01:47.090+00:00,2026-09-13T18:01:47.463+00:00
dry-probe,,google,yes,50,18950,0,9000,0,0.048,2026-09-13T18:01:47.090+00:00,2026-09-13T18:01:47.451+00:00
dry-probe,,openai,yes,100,37900,0,18000,0,0.2918,2026-09-13T18:01:47.089+00:00,2026-09-13T18:01:47.978+00:00
dry-test,pilot,anthropic,yes,40,313276,0,7200,0,0.6986,2026-09-13T16:36:04.222+00:00,2026-09-13T16:36:05.047+00:00
dry-test,pilot,google,yes,37,292870,0,6660,0,0.2446,2026-09-13T16:36:04.223+00:00,2026-09-13T16:36:04.984+00:00
dry-test,pilot,openai,yes,79,638506,0,14220,0,1.4477,2026-09-13T16:36:04.223+00:00,2026-09-13T16:36:05.812+00:00
dry-test-2,pilot,anthropic,yes,41,319592,0,7380,0,0.713,2026-09-13T16:37:49.804+00:00,2026-09-13T16:37:50.150+00:00
dry-test-2,pilot,google,yes,40,333386,0,7200,0,0.277,2026-09-13T16:37:49.806+00:00,2026-09-13T16:37:50.130+00:00
dry-test-2,pilot,openai,yes,76,601786,0,13680,0,1.3677,2026-09-13T16:37:49.807+00:00,2026-09-13T16:37:50.397+00:00
dry-test-3,pilot,anthropic,yes,37,298977,0,6660,0,0.6646,2026-09-13T16:39:14.396+00:00,2026-09-13T16:39:14.761+00:00
dry-test-3,pilot,google,yes,38,304639,0,6840,0,0.2541,2026-09-13T16:39:14.397+00:00,2026-09-13T16:39:14.768+00:00
dry-test-3,pilot,openai,yes,74,591067,0,13320,0,1.342,2026-09-13T16:39:14.398+00:00,2026-09-13T16:39:15.118+00:00
e2e-2arms,main,anthropic,yes,490,3258115,0,88200,0,7.3982,2026-09-13T22:41:20.888+00:00,2026-09-13T22:41:25.190+00:00
e2e-2arms,main,google,yes,486,3211824,0,87480,0,2.7369,2026-09-13T22:41:20.889+00:00,2026-09-13T22:41:25.194+00:00
e2e-2arms,main,openai,yes,976,6487376,0,175680,0,15.0829,2026-09-13T22:41:20.890+00:00,2026-09-13T22:41:27.328+00:00
e2e-31,main,anthropic,yes,2357,16328789,0,424260,0,36.9002,2026-09-13T19:21:15.663+00:00,2026-09-13T19:21:41.451+00:00
e2e-31,main,google,yes,2370,16443907,0,426600,0,13.9326,2026-09-13T19:21:15.666+00:00,2026-09-13T19:21:41.434+00:00
e2e-31,main,openai,yes,4691,32544680,0,844380,0,75.2219,2026-09-13T19:21:15.669+00:00,2026-09-13T19:21:56.605+00:00
e2e-6arms,main,anthropic,yes,229,1596135,0,41220,0,3.6045,2026-09-13T22:42:04.341+00:00,2026-09-13T22:42:06.097+00:00
e2e-6arms,main,google,yes,225,1566696,0,40500,0,1.3269,2026-09-13T22:42:04.342+00:00,2026-09-13T22:42:06.060+00:00
e2e-6arms,main,openai,yes,453,3145168,0,81540,0,7.2688,2026-09-13T22:42:04.344+00:00,2026-09-13T22:42:07.482+00:00
e2e-main,main,anthropic,yes,1882,13103446,0,338760,0,29.5945,2026-09-13T18:13:59.350+00:00,2026-09-13T18:14:20.157+00:00
e2e-main,main,google,yes,1904,13201748,0,342720,0,11.1865,2026-09-13T18:13:59.354+00:00,2026-09-13T18:14:20.150+00:00
e2e-main,main,openai,yes,3800,26348352,0,684000,0,60.9047,2026-09-13T18:13:59.356+00:00,2026-09-13T18:14:32.114+00:00
e2e-main-2,main,anthropic,yes,1895,13130586,0,341100,0,29.6722,2026-09-13T18:15:29.384+00:00,2026-09-13T18:15:49.367+00:00
e2e-main-2,main,google,yes,1900,13183797,0,342000,0,11.1703,2026-09-13T18:15:29.386+00:00,2026-09-13T18:15:49.419+00:00
e2e-main-2,main,openai,yes,3811,26392276,0,685980,0,61.0163,2026-09-13T18:15:29.388+00:00,2026-09-13T18:15:59.638+00:00
e2e-pilot,pilot,anthropic,yes,39,314295,0,7020,0,0.6988,2026-09-13T18:13:56.741+00:00,2026-09-13T18:13:57.237+00:00
e2e-pilot,pilot,google,yes,39,307327,0,7020,0,0.2568,2026-09-13T18:13:56.743+00:00,2026-09-13T18:13:57.249+00:00
e2e-pilot,pilot,openai,yes,76,606290,0,13680,0,1.3767,2026-09-13T18:13:56.746+00:00,2026-09-13T18:13:57.583+00:00
e2e-pilot-2,pilot,anthropic,yes,38,297255,0,6840,0,0.6629,2026-09-13T18:16:00.962+00:00,2026-09-13T18:16:01.402+00:00
e2e-pilot-2,pilot,google,yes,38,303152,0,6840,0,0.253,2026-09-13T18:16:00.964+00:00,2026-09-13T18:16:01.398+00:00
e2e-pilot-2,pilot,openai,yes,77,625542,0,13860,0,1.4174,2026-09-13T18:16:00.968+00:00,2026-09-13T18:16:01.741+00:00
e2e-pilot-3,pilot,anthropic,yes,27,204647,0,4860,0,0.4579,2026-09-13T18:21:55.046+00:00,2026-09-13T18:21:55.448+00:00
e2e-pilot-3,pilot,google,yes,25,203004,0,4500,0,0.1691,2026-09-13T18:21:55.049+00:00,2026-09-13T18:21:55.429+00:00
e2e-pilot-3,pilot,openai,yes,52,422343,0,9360,0,0.957,2026-09-13T18:21:55.051+00:00,2026-09-13T18:21:55.733+00:00
main-1,main,anthropic,no,2170,25253623,24567884,1212506,0,18.7507,2026-09-13T19:22:59.635+00:00,2026-09-13T20:12:02.385+00:00
main-1,main,google,no,2170,14729836,1980954,3235080,2732021,21.8418,2026-09-13T19:22:59.653+00:00,2026-09-13T20:04:34.085+00:00
main-1,main,openai,no,4340,28036772,27254890,1204040,229168,21.4632,2026-09-13T19:22:59.706+00:00,2026-09-13T20:21:04.964+00:00
pilot-1,pilot,anthropic,no,24,307372,153662,12869,0,0.5437,2026-09-13T18:30:55.771+00:00,2026-09-13T18:32:22.018+00:00
pilot-1,pilot,google,no,24,179820,24507,34891,29541,0.2492,2026-09-13T18:30:55.784+00:00,2026-09-13T18:32:15.829+00:00
pilot-1,pilot,openai,no,48,340724,170290,13143,1605,0.5326,2026-09-13T18:30:55.837+00:00,2026-09-13T18:32:34.561+00:00
predict-1,main,anthropic,no,450,4956525,4758724,217901,0,3.6248,2026-09-13T23:01:25.434+00:00,2026-09-13T23:11:13.105+00:00
predict-1,main,google,no,450,3022245,473744,657642,553494,4.4131,2026-09-13T23:01:25.448+00:00,2026-09-13T23:09:22.174+00:00
predict-1,main,openai,no,900,5778090,5540346,247492,49934,4.5534,2026-09-13T23:01:25.493+00:00,2026-09-13T23:13:02.697+00:00
