configuration,model,arm,calls,mean input tokens,mean cached share,mean output tokens,mean reasoning tokens,cost (USD)
terra,gpt-5.6-terra,gr,620,7482.1,0.9834354309,359.035483871,90.6532258065,3.736964
terra,gpt-5.6-terra,bt-en,310,7577.0,0.9673191349,388.7677419355,126.035483871,2.053996
terra,gpt-5.6-terra,bt-de,310,7565.3,0.9673183343,393.8225806452,126.9806451613,2.071846
terra,gpt-5.6-terra,en,310,4246.1,0.9669906869,254.3870967742,118.8709677419,1.287622
terra,gpt-5.6-terra,de-lit,310,5465.7,0.9671579449,268.2709677419,101.7741935484,1.436862
terra,gpt-5.6-terra,de-eng,310,5402.3,0.9671501667,255.1451612903,84.2838709677,1.382956
terra-off,gpt-5.6-terra,gr,620,7482.1,0.9818229566,280.1048387097,0.0,3.170022
terra-off,gpt-5.6-terra,bt-en,310,7577.0,0.9673191349,272.9741935484,0.0,1.623244
terra-off,gpt-5.6-terra,bt-de,310,7565.3,0.9673183343,279.864516129,0.0,1.647922
terra-off,gpt-5.6-terra,en,310,4246.1,0.9637679275,144.6096774194,0.0,0.884961
terra-off,gpt-5.6-terra,de-lit,310,5465.7,0.9671579449,174.0741935484,0.0,1.08645
terra-off,gpt-5.6-terra,de-eng,310,5402.3,0.9671501667,173.8032258065,0.0,1.080364
sonnet,claude-sonnet-5,gr,620,13311.4,0.9837085036,604.7338709677,,5.708261
sonnet,claude-sonnet-5,bt-en,310,13532.2,0.9675846964,635.3193548387,,3.120786
sonnet,claude-sonnet-5,bt-de,310,13383.3,0.9675828516,678.9290322581,,3.243282
sonnet,claude-sonnet-5,en,310,6327.7,0.9674051109,358.6,,1.650574
sonnet,claude-sonnet-5,de-lit,310,10844.3,0.9675461657,502.535483871,,2.480678
sonnet,claude-sonnet-5,de-eng,310,10753.0,0.967544241,526.4580645161,,2.547128
gemini,gemini-3.6-flash,gr,620,7844.7,0.131621997,1578.0967741935,1302.2790322581,6.641678
gemini,gemini-3.6-flash,bt-en,310,7938.3,0.129303198,1541.9967741935,1269.8419354839,3.305161
gemini,gemini-3.6-flash,bt-de,310,7925.4,0.1279125553,1636.1322580645,1359.0548387097,3.41926
gemini,gemini-3.6-flash,en,310,4399.9,0.0,1079.6419354839,932.5451612903,2.278058
gemini,gemini-3.6-flash,de-lit,310,5822.0,0.0,1491.7419354839,1303.6096774194,3.087766
gemini,gemini-3.6-flash,de-eng,310,5740.6,0.0035389031,1530.035483871,1343.3612903226,3.109866
